meeting_date,packet,report_dates,vendor_num,vendor,description,invoice_date,amount,gl_account,gl_title
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 AVERY MAILING LABLES,02/01/2024,62.9,10-41-15,OFFICE SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 TRASH BAGS FOR CUSTODIAL,02/01/2024,54.82,10-41-16,OPERATING SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 LASER POINTER & CLICKER FO,02/01/2024,38.99,10-41-16,OPERATING SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 WEBCAM FOR STEFEN,02/01/2024,134.9,10-41-16,OPERATING SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 BATTERY CHARGER FOR PUBL,02/01/2024,222.23,10-45-23,VEHICLE EXPENSE
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 SAMSUN MONITOR #1 FOR STE,02/01/2024,204.36,10-41-16,OPERATING SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 ENVELOPE SEALER,02/01/2024,11.68,10-41-15,OFFICE SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 SAMSUN MONITOR #2 FOR STE,02/01/2024,204.36,10-41-16,OPERATING SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 2024-2026 MONTHLY PLANNER/,02/01/2024,9.98,10-41-15,OFFICE SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 12-PACK STORAGE BOXES,02/01/2024,57.29,10-41-15,OFFICE SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 BLACK INK FOR AMANDA'S PRI,02/01/2024,34.99,10-41-15,OFFICE SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 36-PACK SPIRAL NOTEBOOKS,02/01/2024,39.99,10-41-15,OFFICE SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 HEAVY DUTY GLOVES FOR PU,02/01/2024,69.49,10-45-25,SHOP EXPENSE
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 REPLACEMENT BATTERY STIC,02/01/2024,13.09,10-42-16,OPERATING SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 WAITING ROOM BENCHES FOR,02/01/2024,299.0,10-41-25,TOWN HALL EXPENSE
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,17HP-LNTW-9 SHIPPING & HANDLING,02/01/2024,166.18,10-41-17,POSTAGE
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,1H6L-NFJL-W BINDER 12-PACK,01/01/2024,6.98,10-41-15,OFFICE SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,1H6L-NFJL-W BOX OF MANILLA FOLDERS,01/01/2024,19.59,10-41-15,OFFICE SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1341,AMAZON BUSINESS,1H6L-NFJL-W SHIPPING & HANDLING OF ITE,01/01/2024,6.99,10-41-17,POSTAGE
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1245,"Archuleta, Benny",ARCH2-1-2024 CERTIFIED OPERATOR IN RES,02/01/2024,750.0,70-51-42,CONTRACT SERVICES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1245,"Archuleta, Benny",ARCH2-1-2024 CERTIFIED OPERATOR IN RES,02/01/2024,750.0,60-50-42,CONTRACT SERVICES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,0878832035-01 UTILTIES (GAS) 600 4TH STREE,01/19/2024,534.06,10-46-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5058039592-01 UTILTIES (GAS) 403 2ND STREE,01/19/2024,180.37,10-45-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5058039592-01 UTILTIES (GAS) 403 2ND STREE,01/19/2024,180.37,10-46-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5058039592-01 UTILTIES (GAS) 403 2ND STREE,01/19/2024,360.75,60-50-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5058039592-01 UTILTIES (GAS) 403 2ND STREE,01/19/2024,360.75,70-51-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5058039592-01 UTILTIES (GAS) 403 2ND STREE,01/19/2024,360.74,80-52-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5315712897-01 UTILITIES (GAS),01/19/2024,180.54,10-41-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5315712897-01 UTILITIES (GAS),01/19/2024,180.54,10-42-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5315712897-01 UTILITIES (GAS),01/19/2024,51.58,60-50-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5315712897-01 UTILITIES (GAS),01/19/2024,51.58,70-51-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,5315712897-01 UTILITIES (GAS),01/19/2024,51.6,80-52-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,987,Black Hills Energy,9843021504-01 UTILITIES (GAS) - 41576 LAMBO,01/19/2024,231.48,60-50-28,UTILITIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1307,Bruin Waste,1723175 PORT-A-POTTY RENTAL LAMBO,02/07/2024,114.75,60-50-24,RENTALS
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1307,Bruin Waste,1723178 PORT-A-POTTY RENTAL 332 4T,02/07/2024,261.0,10-46-24,RENTALS
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1320,CEBT,INV 0063157 BENEFITS PERIOD 2024-02,02/05/2024,21484.0,10-0223,HEALTH/LIFE INSURANCE
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1284,Cedar Creek Supply LLC,"INV-0289 SODIUM HYPOCLORITE, GRAN",01/29/2024,868.56,60-50-16,OPERATING SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1284,Cedar Creek Supply LLC,"INV-0289 SODIUM HYPOCLORITE, GRAN",01/29/2024,868.57,70-51-16,OPERATING SUPPLIES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1183,Column Software PBC,8DFD59D8-005 PUBLIC NOTICE DCI000290 - G,02/01/2024,36.08,10-41-30,PUBLISHING & ADS
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,986,Elevate Fiber,01102024 Internet - ACCT 66210 - 214 GRA,01/10/2024,79.99,10-0144,PREPAID EXPENSES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,986,Elevate Fiber,01102024 Internet - ACCT 66210 - 214 GRA,01/10/2024,79.98,10-0144,PREPAID EXPENSES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,986,Elevate Fiber,01102024 Internet - ACCT 66210 - 214 GRA,01/10/2024,79.98,10-0144,PREPAID EXPENSES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,986,Elevate Fiber,01102024 Internet - ACCT 66210 - 214 GRA,01/10/2024,39.99,10-0144,PREPAID EXPENSES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,986,Elevate Fiber,01102024 Internet - ACCT 66210 - 214 GRA,01/10/2024,40.01,10-0144,PREPAID EXPENSES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,986,Elevate Fiber,01102024 Internet - ACCT 271710 - 41576 L,01/10/2024,129.94,10-0144,PREPAID EXPENSES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,986,Elevate Fiber,01102024 Internet - ACCT 1198710 - 401 2N,01/10/2024,31.98,10-0144,PREPAID EXPENSES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,986,Elevate Fiber,01102024 Internet - ACCT 1198710 - 401 2N,01/10/2024,47.97,10-0144,PREPAID EXPENSES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,986,Elevate Fiber,01102024 Internet - ACCT 1277710 - 38976,01/10/2024,79.95,10-0144,PREPAID EXPENSES
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1190,Empower Trust Company LLC,PPE01/26 Retirement Plan PPE 0119,01/26/2024,4203.08,10-0220,RETIREMENT PLAN
2024-02-13,2024-02-13-evt283,1/23/2024-2/8/2024,1221,ENVIRO-CHEM ANALYTICAL IN,14170500 WASTEWATER TESTING,10/25/2022,68.0,70-51-32,FEES & PERMITS
